Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,37,76851,129320,San Diego,Bonsall Unified,Bonsall High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,137,55,40.10%,64,46.70%,137,55,40.10%,64,46.70%,Y
2015-2016,37,76851,132886,San Diego,Bonsall Unified,Pathways Academy Charter,Unified School District,K-12 Schools (Public),Traditional,None,Y,1767,Directly funded,Y,K,12,576,144,25.00%,193,33.50%,549,139,25.30%,188,34.20%,Y
2015-2016,37,76851,6037543,San Diego,Bonsall Unified,Bonsall Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,979,266,27.20%,330,33.70%,961,261,27.20%,324,33.70%,Y
2015-2016,37,76851,6108567,San Diego,Bonsall Unified,Norman L. Sullivan Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,600,165,27.50%,195,32.50%,600,165,27.50%,195,32.50%,Y
2015-2016,37,76851,6113468,San Diego,Bonsall Unified,Vivian Banks Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 4,Y,104,Locally funded,N,K,5,110,109,99.10%,109,99.10%,110,109,99.10%,109,99.10%,Y
2015-2016,37,76901,131193,San Diego,SBE - Thrive Public,Thrive Public,State Board of Education,Elemen Schools In 1 School Dist. (Public),Traditional,None,Y,1696,Directly funded,N,K,8,194,71,36.60%,99,51.00%,191,71,37.20%,98,51.30%,Y
2015-2016,38,10389,1,San Francisco,San Francisco County Office of Education,"Nonpublic, Nonsectarian Schools",County Office of Education (COE),N/A,N/A,None,N/A,N/A,N/A,N/A,,,135,66,48.90%,69,51.10%,100,53,53.00%,55,55.00%,Y
2015-2016,38,10389,3830361,San Francisco,San Francisco County Office of Education,S.F. County Court Woodside Learning Ctr,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,None,N,,,N,6,12,33,19,57.60%,19,57.60%,26,14,53.80%,14,53.80%,Y
2015-2016,38,10389,3830395,San Francisco,San Francisco County Office of Education,S.F. County Opportunity (Hilltop),County Office of Education (COE),Opportunity Schools,Opportunity School,Provision 4,N,,,N,6,12,56,45,80.40%,45,80.40%,37,30,81.10%,30,81.10%,Y
2015-2016,38,10389,3830445,San Francisco,San Francisco County Office of Education,S.F. County Civic Center Secondary,County Office of Education (COE),County Community,County Community School,Provision 4,N,,,N,6,12,143,103,72.00%,105,73.40%,89,64,71.90%,66,74.20%,Y
2015-2016,38,10389,6069561,San Francisco,San Francisco County Office of Education,S.F. County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,None,N,,,N,K,12,79,30,38.00%,33,41.80%,67,26,38.80%,29,43.30%,Y
2015-2016,38,68478,0,San Francisco,San Francisco Unified,District Office,Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,P,12,420,206,49.00%,234,55.70%,177,85,48.00%,97,54.80%,Y
2015-2016,38,68478,101337,San Francisco,San Francisco Unified,KIPP Bayview Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,Y,549,Directly funded,N,5,8,288,194,67.40%,224,77.80%,288,194,67.40%,224,77.80%,Y
2015-2016,38,68478,101352,San Francisco,San Francisco Unified,KIPP San Francisco Bay Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,Y,551,Directly funded,N,5,8,374,250,66.80%,298,79.70%,374,250,66.80%,298,79.70%,Y
2015-2016,38,68478,101774,San Francisco,San Francisco Unified,Five Keys Charter (SF Sheriff's),Unified School District,High Schools (Public),Traditional,None,Y,567,Directly funded,Y,9,12,382,12,3.10%,12,3.10%,0,0,0.00%,0,0.00%,Y
2015-2016,38,68478,102103,San Francisco,San Francisco Unified,Jordan (June) School for Equity,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,258,176,68.20%,198,76.70%,244,162,66.40%,184,75.40%,Y
2015-2016,38,68478,107300,San Francisco,San Francisco Unified,City Arts and Tech High,Unified School District,High Schools (Public),Traditional,None,Y,599,Directly funded,Y,9,12,340,213,62.60%,250,73.50%,324,202,62.30%,237,73.10%,Y
2015-2016,38,68478,111427,San Francisco,San Francisco Unified,Feinstein (Dianne) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,512,113,22.10%,138,27.00%,512,113,22.10%,138,27.00%,Y
2015-2016,38,68478,118133,San Francisco,San Francisco Unified,Five Keys Adult School (SF Sheriff's),Unified School District,High Schools (Public),Traditional,None,Y,1029,Directly funded,Y,9,12,163,2,1.20%,2,1.20%,0,0,0.00%,0,0.00%,Y
2015-2016,38,68478,118141,San Francisco,San Francisco Unified,Five Keys Independence HS (SF Sheriff's),Unified School District,High Schools (Public),Traditional,None,Y,1028,Directly funded,Y,9,12,1925,271,14.10%,271,14.10%,62,27,43.50%,27,43.50%,Y
2015-2016,38,68478,119875,San Francisco,San Francisco Unified,S.F. International High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,302,242,80.10%,269,89.10%,217,177,81.60%,198,91.20%,Y
2015-2016,38,68478,119958,San Francisco,San Francisco Unified,Academy of Arts and Sciences,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,318,162,50.90%,180,56.60%,310,158,51.00%,176,56.80%,Y
2015-2016,38,68478,120386,San Francisco,San Francisco Unified,Chinese Immersion School at DeAvila,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,405,45,11.10%,60,14.80%,405,45,11.10%,60,14.80%,Y
2015-2016,38,68478,123117,San Francisco,San Francisco Unified,San Francisco Public Montessori,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,171,52,30.40%,56,32.70%,171,52,30.40%,56,32.70%,Y
2015-2016,38,68478,123265,San Francisco,San Francisco Unified,Gateway Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,Y,1267,Directly funded,N,6,8,313,114,36.40%,135,43.10%,313,114,36.40%,135,43.10%,Y
2015-2016,38,68478,127530,San Francisco,San Francisco Unified,KIPP San Francisco College Preparatory,Unified School District,High Schools (Public),Traditional,None,Y,1502,Directly funded,N,9,12,312,220,70.50%,257,82.40%,309,217,70.20%,254,82.20%,Y
2015-2016,38,68478,128876,San Francisco,San Francisco Unified,Gateway to College,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,167,67,40.10%,69,41.30%,19,6,31.60%,7,36.80%,Y
2015-2016,38,68478,132241,San Francisco,San Francisco Unified,Brown Jr. (Willie L) Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,201,140,69.70%,154,76.60%,201,140,69.70%,154,76.60%,Y
2015-2016,38,68478,3830031,San Francisco,San Francisco Unified,Wells (Ida B.) High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,125,90,72.00%,92,73.60%,87,63,72.40%,65,74.70%,Y
2015-2016,38,68478,3830064,San Francisco,San Francisco Unified,Downtown High,Unified School District,Continuation High Schools,Continuation School,Breakfast Provision 2,N,,,N,9,12,167,119,71.30%,125,74.90%,118,80,67.80%,85,72.00%,Y
2015-2016,38,68478,3830197,San Francisco,San Francisco Unified,Independence High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,201,111,55.20%,120,59.70%,155,82,52.90%,89,57.40%,Y
2015-2016,38,68478,3830205,San Francisco,San Francisco Unified,Wallenberg (Raoul) Traditional High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,636,285,44.80%,385,60.50%,594,257,43.30%,354,59.60%,Y
2015-2016,38,68478,3830254,San Francisco,San Francisco Unified,Burton (Phillip and Sala) Academic High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1033,634,61.40%,766,74.20%,975,589,60.40%,716,73.40%,Y
2015-2016,38,68478,3830288,San Francisco,San Francisco Unified,Balboa High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,N,,,N,9,12,1260,676,53.70%,865,68.70%,1211,648,53.50%,835,69.00%,Y
2015-2016,38,68478,3830353,San Francisco,San Francisco Unified,International Studies Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Breakfast Provision 2,N,,,N,9,12,126,79,62.70%,85,67.50%,122,78,63.90%,84,68.90%,Y
2015-2016,38,68478,3830387,San Francisco,San Francisco Unified,"Asawa (Ruth) SF Sch of the Arts, A Public School",Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,614,100,16.30%,128,20.80%,585,82,14.00%,110,18.80%,Y
2015-2016,38,68478,3830403,San Francisco,San Francisco Unified,Marshall (Thurgood) High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,N,,,N,9,12,444,328,73.90%,356,80.20%,351,257,73.20%,281,80.10%,Y
2015-2016,38,68478,3830411,San Francisco,San Francisco Unified,Leadership High,Unified School District,High Schools (Public),Traditional,None,Y,122,Directly funded,Y,9,12,268,170,63.40%,234,87.30%,255,162,63.50%,222,87.10%,Y
2015-2016,38,68478,3830429,San Francisco,San Francisco Unified,Life Learning Academy Charter,Unified School District,High Schools (Public),Traditional,None,Y,140,Locally funded,N,9,12,22,13,59.10%,13,59.10%,14,6,42.90%,6,42.90%,Y
2015-2016,38,68478,3830437,San Francisco,San Francisco Unified,Gateway High,Unified School District,High Schools (Public),Traditional,None,Y,141,Directly funded,N,9,12,482,148,30.70%,192,39.80%,466,142,30.50%,185,39.70%,Y
2015-2016,38,68478,3831765,San Francisco,San Francisco Unified,Galileo High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1890,1215,64.30%,1443,76.30%,1783,1142,64.00%,1359,76.20%,Y
2015-2016,38,68478,3833241,San Francisco,San Francisco Unified,Lincoln (Abraham) High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2046,878,42.90%,1060,51.80%,1959,809,41.30%,986,50.30%,Y
2015-2016,38,68478,3833407,San Francisco,San Francisco Unified,Lowell High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2685,759,28.30%,1067,39.70%,2625,736,28.00%,1036,39.50%,Y
2015-2016,38,68478,3834082,San Francisco,San Francisco Unified,Mission High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1058,668,63.10%,720,68.10%,922,570,61.80%,615,66.70%,Y
2015-2016,38,68478,3834769,San Francisco,San Francisco Unified,O'Connell (John) High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,319,191,59.90%,203,63.60%,296,176,59.50%,186,62.80%,Y
2015-2016,38,68478,3839081,San Francisco,San Francisco Unified,Washington (George) High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2054,1036,50.40%,1278,62.20%,1983,983,49.60%,1224,61.70%,Y
2015-2016,38,68478,6040695,San Francisco,San Francisco Unified,Alamo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,535,146,27.30%,182,34.00%,535,146,27.30%,182,34.00%,Y
2015-2016,38,68478,6040703,San Francisco,San Francisco Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,508,161,31.70%,192,37.80%,508,161,31.70%,192,37.80%,Y
2015-2016,38,68478,6040737,San Francisco,San Francisco Unified,Argonne Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,430,114,26.50%,138,32.10%,430,114,26.50%,138,32.10%,Y
2015-2016,38,68478,6040752,San Francisco,San Francisco Unified,Carmichael (Bessie)/FEC,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,8,612,439,71.70%,497,81.20%,612,439,71.70%,497,81.20%,Y
2015-2016,38,68478,6040760,San Francisco,San Francisco Unified,Harte (Bret) Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,178,142,79.80%,146,82.00%,178,142,79.80%,146,82.00%,Y
2015-2016,38,68478,6040778,San Francisco,San Francisco Unified,Bryant Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,216,166,76.90%,169,78.20%,216,166,76.90%,169,78.20%,Y
2015-2016,38,68478,6040828,San Francisco,San Francisco Unified,Clarendon Alternative Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,552,104,18.80%,125,22.60%,552,104,18.80%,125,22.60%,Y
2015-2016,38,68478,6040836,San Francisco,San Francisco Unified,Cleveland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,362,261,72.10%,267,73.80%,362,261,72.10%,267,73.80%,Y
2015-2016,38,68478,6040851,San Francisco,San Francisco Unified,Sloat (Commodore) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,395,116,29.40%,168,42.50%,395,116,29.40%,168,42.50%,Y
2015-2016,38,68478,6040877,San Francisco,San Francisco Unified,Lau (Gordon J.) Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,664,457,68.80%,585,88.10%,664,457,68.80%,585,88.10%,Y
2015-2016,38,68478,6040893,San Francisco,San Francisco Unified,Webster (Daniel) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,273,136,49.80%,144,52.70%,273,136,49.80%,144,52.70%,Y
2015-2016,38,68478,6040919,San Francisco,San Francisco Unified,Milk (Harvey) Civil Rights Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,238,90,37.80%,102,42.90%,238,90,37.80%,102,42.90%,Y
2015-2016,38,68478,6040935,San Francisco,San Francisco Unified,Edison Charter Academy,Unified School District,Elementary Schools (Public),Traditional,None,Y,158,Directly funded,Y,K,8,693,423,61.00%,533,76.90%,689,420,61.00%,530,76.90%,Y
2015-2016,38,68478,6040943,San Francisco,San Francisco Unified,Taylor (Edward R.) Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,671,439,65.40%,526,78.40%,671,439,65.40%,526,78.40%,Y
2015-2016,38,68478,6040950,San Francisco,San Francisco Unified,El Dorado Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,236,165,69.90%,169,71.60%,236,165,69.90%,169,71.60%,Y
2015-2016,38,68478,6040968,San Francisco,San Francisco Unified,Cobb (William L.) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,109,69,63.30%,76,69.70%,109,69,63.30%,76,69.70%,Y
2015-2016,38,68478,6040984,San Francisco,San Francisco Unified,Fairmount Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,380,224,58.90%,253,66.60%,380,224,58.90%,253,66.60%,Y
2015-2016,38,68478,6041008,San Francisco,San Francisco Unified,Key (Francis Scott) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,531,146,27.50%,209,39.40%,531,146,27.50%,209,39.40%,Y
2015-2016,38,68478,6041016,San Francisco,San Francisco Unified,McCoppin (Frank) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,218,129,59.20%,150,68.80%,218,129,59.20%,150,68.80%,Y
2015-2016,38,68478,6041040,San Francisco,San Francisco Unified,Garfield Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,223,104,46.60%,122,54.70%,223,104,46.60%,122,54.70%,Y
2015-2016,38,68478,6041065,San Francisco,San Francisco Unified,Peabody (George) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,276,65,23.60%,72,26.10%,276,65,23.60%,72,26.10%,Y
2015-2016,38,68478,6041073,San Francisco,San Francisco Unified,Glen Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,344,181,52.60%,216,62.80%,344,181,52.60%,216,62.80%,Y
2015-2016,38,68478,6041115,San Francisco,San Francisco Unified,Grattan Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,395,70,17.70%,76,19.20%,395,70,17.70%,76,19.20%,Y
2015-2016,38,68478,6041123,San Francisco,San Francisco Unified,Guadalupe Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,451,295,65.40%,329,72.90%,451,295,65.40%,329,72.90%,Y
2015-2016,38,68478,6041131,San Francisco,San Francisco Unified,Yick Wo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,270,90,33.30%,113,41.90%,270,90,33.30%,113,41.90%,Y
2015-2016,38,68478,6041149,San Francisco,San Francisco Unified,Chavez (Cesar) Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,429,342,79.70%,348,81.10%,429,342,79.70%,348,81.10%,Y
2015-2016,38,68478,6041156,San Francisco,San Francisco Unified,Hillcrest Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,462,355,76.80%,401,86.80%,462,355,76.80%,401,86.80%,Y
2015-2016,38,68478,6041206,San Francisco,San Francisco Unified,Parker (Jean) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,267,193,72.30%,223,83.50%,267,193,72.30%,223,83.50%,Y
2015-2016,38,68478,6041230,San Francisco,San Francisco Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,511,128,25.00%,174,34.10%,511,128,25.00%,174,34.10%,Y
2015-2016,38,68478,6041255,San Francisco,San Francisco Unified,Muir (John) Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,265,198,74.70%,199,75.10%,265,198,74.70%,199,75.10%,Y
2015-2016,38,68478,6041271,San Francisco,San Francisco Unified,Ortega (Jose) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,393,169,43.00%,205,52.20%,393,169,43.00%,205,52.20%,Y
2015-2016,38,68478,6041289,San Francisco,San Francisco Unified,Serra (Junipero) Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,290,238,82.10%,264,91.00%,290,238,82.10%,264,91.00%,Y
2015-2016,38,68478,6041305,San Francisco,San Francisco Unified,Lafayette Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,543,146,26.90%,187,34.40%,543,146,26.90%,187,34.40%,Y
2015-2016,38,68478,6041321,San Francisco,San Francisco Unified,Lakeshore Alternative Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,487,233,47.80%,271,55.60%,487,233,47.80%,271,55.60%,Y
2015-2016,38,68478,6041339,San Francisco,San Francisco Unified,Lawton Alternative Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,599,205,34.20%,298,49.70%,599,205,34.20%,298,49.70%,Y
2015-2016,38,68478,6041347,San Francisco,San Francisco Unified,Flynn (Leonard R.) Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,5,437,269,61.60%,306,70.00%,437,269,61.60%,306,70.00%,Y
